geneSet,description,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,logFDR
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,80,15,3.71239714,4.040515988,3.11E-06,5.52E-05,10092;10094;10095;10096;10109;1072;2268;2885;3055;4067;5058;5879;695;71;7454,ARPC1B;FGR;RAC1;HCK;ARPC3;LYN;ARPC5;CFL1;ARPC2;WAS;ACTR3;PAK1;ACTG1;BTK;GRB2,KidneyCancer,4.258268511
R-HSA-4641257,Degradation of AXIN,52,12,2.413058141,4.972942755,3.17E-06,5.56E-05,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.254843411
R-HSA-156711,Polo-like kinase mediated events,16,7,0.742479428,9.42787064,3.47E-06,6.03E-05,1063;2305;4605;5347;891;9088;9133,PKMYT1;CCNB2;CENPF;PLK1;MYBL2;CCNB1;FOXM1,KidneyCancer,4.219735494
R-HSA-202403,TCR signaling,113,18,5.24376096,3.432650751,3.80E-06,6.53E-05,1445;3937;5058;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;7408;7454;8767,PSME2;PSME1;PSMB10;PSMA6;PSMB3;WAS;VASP;PSMB9;LCP2;PAK1;PSMA7;PSMB8;PSMB2;CSK;PSMB6;PSMD8;RIPK2;PSMB1,KidneyCancer,4.185286762
R-HSA-5658442,Regulation of RAS by GAPs,62,13,2.877107784,4.518426482,3.89E-06,6.53E-05,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.184824203
R-HSA-5362768,Hh mutants that don't undergo autocatalytic processing are degraded by ERAD,53,12,2.459463105,4.879113646,3.93E-06,6.53E-05,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.184824203
R-HSA-69541,Stabilization of p53,53,12,2.459463105,4.879113646,3.93E-06,6.53E-05,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.184824203
R-HSA-69202,Cyclin E associated events during G1/S transition,82,15,3.805207069,3.941966818,4.29E-06,7.06E-05,1026;1163;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;890,PSME2;PSME1;PSMB10;PSMA6;CKS1B;PSMB3;CCNA2;PSMB9;PSMA7;CDKN1A;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.150919681
R-HSA-8941858,Regulation of RUNX3 expression and activity,54,12,2.50586807,4.78875969,4.84E-06,7.89E-05,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.10287376
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,84,15,3.898016997,3.848110465,5.85E-06,9.45E-05,1026;1163;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;890,PSME2;PSME1;PSMB10;PSMA6;CKS1B;PSMB3;CCNA2;PSMB9;PSMA7;CDKN1A;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.024577175
R-HSA-5387390,Hh mutants abrogate ligand secretion,55,12,2.552273034,4.701691332,5.94E-06,9.48E-05,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,4.022988815
R-HSA-109581,Apoptosis,164,22,7.610414137,2.890775666,6.09E-06,9.64E-05,10971;148022;28988;3009;3148;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;637;63967;7431;7529;7533,PSME2;YWHAB;HMGB2;PSME1;PSMB10;HIST1H1B;PSMA6;VIM;PSMB3;BID;YWHAH;PSMB9;PSMA7;CLSPN;PSMB8;PSMB2;PSMB6;DBNL;TICAM1;YWHAQ;PSMD8;PSMB1,KidneyCancer,4.015864799
R-HSA-8948751,Regulation of PTEN stability and activity,65,13,3.016322676,4.309883721,6.77E-06,0.000106057,1460;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;CSNK2B;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.974459322
R-HSA-5632684,Hedgehog 'on' state,75,14,3.480372319,4.02255814,7.02E-06,0.000108884,409;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;ARRB2;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.963037791
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,56,12,2.598677998,4.617732558,7.24E-06,0.000111297,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.953518313
R-HSA-5357801,Programmed Cell Death,167,22,7.74962903,2.838845565,8.21E-06,0.000124997,10971;148022;28988;3009;3148;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;637;63967;7431;7529;7533,PSME2;YWHAB;HMGB2;PSME1;PSMB10;HIST1H1B;PSMA6;VIM;PSMB3;BID;YWHAH;PSMB9;PSMA7;CLSPN;PSMB8;PSMB2;PSMB6;DBNL;TICAM1;YWHAQ;PSMD8;PSMB1,KidneyCancer,3.903099055
R-HSA-5358346,Hedgehog ligand biogenesis,57,12,2.645082962,4.536719706,8.80E-06,0.000130175,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.885474
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,57,12,2.645082962,4.536719706,8.80E-06,0.000130175,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.885474
R-HSA-5678895,Defective CFTR causes cystic fibrosis,57,12,2.645082962,4.536719706,8.80E-06,0.000130175,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.885474
R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,120,18,5.56859571,3.232412791,9.08E-06,0.000133177,3014;3015;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;6688;8331;8358;8364,SPI1;PSME2;PSME1;PSMB10;PSMA6;PSMB3;HIST1H4C;H2AFZ;PSMB9;PSMA7;HIST1H3B;HIST1H2AJ;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1;H2AFX,KidneyCancer,3.875571606
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,77,14,3.573182247,3.91807611,9.66E-06,0.000140374,10112;10376;11004;11316;24137;29127;375;381;3833;3835;56992;84790;8775;9493,TUBA1B;ARF5;KIFC1;TUBA1C;KIF2C;KIF23;NAPA;KIF15;KIF20A;COPE;KIF4A;RACGAP1;KIF22;ARF1,KidneyCancer,3.852712612
R-HSA-195253,Degradation of beta-catenin by the destruction complex,78,14,3.619587212,3.867844365,1.13E-05,0.000162529,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;6934;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;RBX1;TCF7L2;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.789069868
R-HSA-8939902,Regulation of RUNX2 expression and activity,68,13,3.155537569,4.119741792,1.14E-05,0.000162609,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.788855202
R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,59,12,2.737892891,4.382932598,1.28E-05,0.000181072,10092;10094;10095;10096;10109;1072;2885;5058;5879;695;71;7454,ARPC1B;RAC1;ARPC3;ARPC5;CFL1;ARPC2;WAS;ACTR3;PAK1;ACTG1;BTK;GRB2,KidneyCancer,3.742147762
R-HSA-2871837,FCERI mediated NF-kB activation,79,14,3.665992176,3.81888431,1.32E-05,0.000184384,2207;4067;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;FCER1G;LYN;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.734276804
R-HSA-1234174,Regulation of Hypoxia-inducible Factor (HIF) by oxygen,69,13,3.201942533,4.060035389,1.35E-05,0.000185473,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.731718597
R-HSA-2262749,Cellular response to hypoxia,69,13,3.201942533,4.060035389,1.35E-05,0.000185473,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.731718597
R-HSA-8878166,Transcriptional regulation by RUNX2,112,17,5.197355996,3.270893895,1.37E-05,0.000187684,1026;3958;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;891;983;9978,PSME2;CDK1;PSME1;PSMB10;PSMA6;LGALS3;PSMB3;PSMB9;PSMA7;RBX1;CDKN1A;PSMB8;PSMB2;PSMB6;CCNB1;PSMD8;PSMB1,KidneyCancer,3.726573847
R-HSA-2682334,EPH-Ephrin signaling,90,15,4.176446783,3.591569767,1.40E-05,0.00019015,10092;10094;10095;10096;10109;103910;1072;1175;1211;1212;387;4067;5058;5879;71,ARPC1B;RHOA;RAC1;ARPC3;LYN;ARPC5;CFL1;ARPC2;ACTR3;PAK1;AP2S1;ACTG1;MYL12B;CLTA;CLTB,KidneyCancer,3.720903065
R-HSA-1236974,ER-Phagosome pathway,80,14,3.71239714,3.771148256,1.53E-05,0.000205254,4615;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;695,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;MYD88;BTK;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.687708839
R-HSA-983189,Kinesins,42,10,1.949008499,5.130813953,1.58E-05,0.000210584,10112;10376;11004;24137;29127;3833;3835;56992;84790;9493,TUBA1B;KIFC1;TUBA1C;KIF2C;KIF23;KIF15;KIF20A;KIF4A;RACGAP1;KIF22,KidneyCancer,3.676574358
R-HSA-4608870,Asymmetric localization of PCP proteins,61,12,2.830702819,4.239229889,1.83E-05,0.00024197,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.616238268
R-HSA-5663205,Infectious disease,357,35,16.56657224,2.112688098,1.86E-05,0.000244125,1175;1211;128866;2237;2547;2885;292;3055;3159;3303;375;5434;5478;5604;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;5879;5901;6827;7520;805;808;8815;8905;9978,PSME2;RAC1;AP1S2;HCK;PSME1;PSMB10;RAN;PPIA;PSMA6;CALM3;PSMB3;SLC25A5;PSMB9;BANF1;PSMA7;AP2S1;XRCC6;RBX1;CHMP4B;MAP2K1;HMGA1;POLR2E;PSMB8;PSMB2;PSMB6;CALM2;FEN1;GRB2;CLTA;PSMD8;SUPT4H1;HSPA1A;ARF1;PSMB1;XRCC5,KidneyCancer,3.612388136
R-HSA-5621481,C-type lectin receptors (CLRs),127,18,5.89343046,3.054248306,2.02E-05,0.000256887,2207;29108;4067;5058;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;805;808,PSME2;PYCARD;FCER1G;LYN;PSME1;PSMB10;PSMA6;CALM3;PSMB3;PSMB9;PAK1;PSMA7;PSMB8;PSMB2;PSMB6;CALM2;PSMD8;PSMB1,KidneyCancer,3.590257311
R-HSA-70263,Gluconeogenesis,27,8,1.252934035,6.38501292,2.03E-05,0.000256887,2023;226;2597;2821;4191;5223;5230;7167,ALDOA;PGAM1;TPI1;ENO1;PGK1;GPI;MDH2;GAPDH,KidneyCancer,3.590257311
R-HSA-539107,Activation of E2F1 target genes at G1/S,27,8,1.252934035,6.38501292,2.03E-05,0.000256887,1719;5111;6241;7083;7298;81620;8318;983,RRM2;TYMS;TK1;CDK1;CDT1;DHFR;PCNA;CDC45,KidneyCancer,3.590257311
R-HSA-69205,G1/S-Specific Transcription,27,8,1.252934035,6.38501292,2.03E-05,0.000256887,1719;5111;6241;7083;7298;81620;8318;983,RRM2;TYMS;TK1;CDK1;CDT1;DHFR;PCNA;CDC45,KidneyCancer,3.590257311
R-HSA-162594,Early Phase of HIV Life Cycle,14,6,0.6496695,9.235465116,2.09E-05,0.000263209,2237;2547;3159;5478;7520;8815,PPIA;BANF1;XRCC6;HMGA1;FEN1;XRCC5,KidneyCancer,3.579699998
R-HSA-69478,G2/M DNA replication checkpoint,5,4,0.232024821,17.23953488,2.20E-05,0.000274222,891;9088;9133;983,CDK1;PKMYT1;CCNB2;CCNB1,KidneyCancer,3.561898473
R-HSA-162592,Integration of provirus,9,5,0.417644678,11.97189922,2.26E-05,0.000279672,2547;3159;5478;7520;8815,PPIA;BANF1;XRCC6;HMGA1;XRCC5,KidneyCancer,3.553351152
R-HSA-1169091,Activation of NF-kappaB in B cells,64,12,2.969917712,4.040515988,3.05E-05,0.000374423,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.42663781
R-HSA-114608,Platelet degranulation,108,16,5.011736139,3.19250646,3.35E-05,0.000406047,1072;1675;226;2316;308;5216;5265;5478;5660;6813;7076;7094;805;808;8407;9948,SERPINA1;STXBP2;ANXA5;ALDOA;CFD;PSAP;PPIA;CFL1;CALM3;WDR1;TAGLN2;TIMP1;TLN1;FLNA;CALM2;PFN1,KidneyCancer,3.391423236
R-HSA-8856688,Golgi-to-ER retrograde transport,108,16,5.011736139,3.19250646,3.35E-05,0.000406047,10112;10376;11004;11258;11316;24137;29127;375;381;3833;3835;56992;832;84790;8775;9493,TUBA1B;ARF5;KIFC1;CAPZB;TUBA1C;KIF2C;KIF23;NAPA;KIF15;KIF20A;COPE;KIF4A;RACGAP1;DCTN3;KIF22;ARF1,KidneyCancer,3.391423236
R-HSA-5607764,CLEC7A (Dectin-1) signaling,97,15,4.501281532,3.33238432,3.53E-05,0.000420785,29108;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;805;808,PSME2;PYCARD;PSME1;PSMB10;PSMA6;CALM3;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;CALM2;PSMD8;PSMB1,KidneyCancer,3.375939557
R-HSA-5610787,Hedgehog 'off' state,97,15,4.501281532,3.33238432,3.53E-05,0.000420785,10376;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;84790;9978,TUBA1B;PSME2;PSME1;PSMB10;PSMA6;PSMB3;TUBA1C;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.375939557
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,113,16,5.24376096,3.051245112,5.91E-05,0.000699667,1072;1675;226;2316;308;5216;5265;5478;5660;6813;7076;7094;805;808;8407;9948,SERPINA1;STXBP2;ANXA5;ALDOA;CFD;PSAP;PPIA;CFL1;CALM3;WDR1;TAGLN2;TIMP1;TLN1;FLNA;CALM2;PFN1,KidneyCancer,3.155108646
R-HSA-176417,Phosphorylation of Emi1,6,4,0.278429786,14.36627907,6.35E-05,0.000745889,5347;891;983;991,CDK1;CDC20;PLK1;CCNB1,KidneyCancer,3.127325616
R-HSA-5619084,ABC transporter disorders,69,12,3.201942533,3.747724975,6.63E-05,0.000773477,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.111552468
R-HSA-9013694,Signaling by NOTCH4,80,13,3.71239714,3.501780523,6.91E-05,0.00080039,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;9978,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.096698556
R-HSA-8878159,Transcriptional regulation by RUNX3,93,14,4.315661675,3.2439985,8.69E-05,0.00099881,1026;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;6934,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;TCF7L2;CDKN1A;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,3.000517001
R-HSA-351202,Metabolism of polyamines,71,12,3.294752462,3.642155257,8.86E-05,0.001011053,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,2.99522587
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,25,7,1.160124106,6.033837209,0.000101466,0.001149944,2305;5347;890;891;9088;9133;983,CDK1;PKMYT1;CCNB2;CCNA2;PLK1;CCNB1;FOXM1,KidneyCancer,2.939323268
R-HSA-445355,Smooth Muscle Contraction,34,8,1.577768785,5.070451436,0.000124536,0.001391665,103910;302;5058;7094;7170;7171;805;808,ANXA2;TPM3;CALM3;PAK1;TLN1;MYL12B;CALM2;TPM4,KidneyCancer,2.856465293
R-HSA-114604,GPVI-mediated activation cascade,34,8,1.577768785,5.070451436,0.000124536,0.001391665,2207;387;391;3937;4067;5777;5879;5880,RHOA;RAC1;FCER1G;LYN;RHOG;RAC2;LCP2;PTPN6,KidneyCancer,2.856465293
R-HSA-5689603,UCH proteinases,97,14,4.501281532,3.110225366,0.000138419,0.001536065,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;8329;8331,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;HIST1H2AI;HIST1H2AJ;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,2.813590269
R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",7,4,0.32483475,12.31395349,0.000142698,0.001561861,5347;891;9133;983,CDK1;CCNB2;PLK1;CCNB1,KidneyCancer,2.806357574
R-HSA-164843,2-LTR circle formation,7,4,0.32483475,12.31395349,0.000142698,0.001561861,2547;3159;7520;8815,BANF1;XRCC6;HMGA1;XRCC5,KidneyCancer,2.806357574
R-HSA-5358351,Signaling by Hedgehog,122,16,5.661405639,2.82615326,0.000149993,0.001630536,10376;409;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;84790;9978,TUBA1B;PSME2;PSME1;PSMB10;PSMA6;PSMB3;ARRB2;TUBA1C;PSMB9;PSMA7;RBX1;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,2.787669521
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,98,14,4.547686497,3.078488372,0.000154833,0.001671773,10673;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;8741,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;TNFSF13B;PSMA7;TNFSF13;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,2.776822567
R-HSA-5663202,Diseases of signal transduction,351,32,16.28814245,1.96461936,0.000173229,0.001857857,1026;1445;1523;2280;2885;3164;391;409;5434;5604;5687;5688;5689;5690;5691;5694;5696;5698;5699;57085;5714;5720;5721;5879;5880;6934;7094;71;7529;9208;942;9978,PSME2;RAC1;RHOG;LRRFIP1;RAC2;YWHAB;PSME1;PSMB10;PSMA6;PSMB3;ARRB2;FKBP1A;PSMB9;PSMA7;RBX1;CUX1;MAP2K1;TCF7L2;ACTG1;CDKN1A;CD86;POLR2E;AGTRAP;TLN1;PSMB8;PSMB2;CSK;PSMB6;GRB2;NR4A1;PSMD8;PSMB1,KidneyCancer,2.730987749
R-HSA-71387,Metabolism of carbohydrates,177,20,8.213678673,2.434962554,0.000190133,0.002025552,2023;226;25796;2597;2799;2821;2990;3101;3161;4125;4191;5223;5226;5230;6888;7086;7167;805;808;9060,TKT;ALDOA;PGAM1;TALDO1;TPI1;ENO1;PGK1;CALM3;HK3;PAPSS2;PGLS;PGD;HMMR;GPI;GNS;CALM2;MDH2;GAPDH;GUSB;MAN2B1,KidneyCancer,2.693456508
R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,13,5,0.603264535,8.288237925,0.00019757,0.002090842,10971;7529;7533;891;983,CDK1;YWHAB;YWHAH;CCNB1;YWHAQ,KidneyCancer,2.679678715
R-HSA-202424,Downstream TCR signaling,93,13,4.315661675,3.012284321,0.000329997,0.003469307,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;8767,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;RIPK2;PSMB1,KidneyCancer,2.459757283
R-HSA-382556,ABC-family proteins mediated transport,82,12,3.805207069,3.153573454,0.000362039,0.003764484,5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721,PSME2;PSME1;PSMB10;PSMA6;PSMB3;PSMB9;PSMA7;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1,KidneyCancer,2.424294572
R-HSA-5683057,MAPK family signaling cascades,273,26,12.66855524,2.052325581,0.000362785,0.003764484,10435;1445;2885;409;5058;5604;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;5879;7094;71;7529;805;808;983;9978,PSME2;RAC1;CDK1;YWHAB;PSME1;PSMB10;PSMA6;CALM3;PSMB3;ARRB2;PSMB9;PAK1;PSMA7;CDC42EP2;RBX1;MAP2K1;ACTG1;TLN1;PSMB8;PSMB2;CSK;PSMB6;CALM2;GRB2;PSMD8;PSMB1,KidneyCancer,2.424294572
R-HSA-2871809,FCERI mediated Ca+2 mobilization,32,7,1.484958856,4.71393532,0.000536526,0.005531412,2207;2885;3937;4067;695;805;808,FCER1G;LYN;CALM3;LCP2;BTK;CALM2;GRB2,KidneyCancer,2.257163976
R-HSA-5627123,RHO GTPases activate PAKs,24,6,1.113719142,5.387354651,0.000631588,0.006469723,103910;2316;5058;5879;805;808,RAC1;CALM3;PAK1;MYL12B;FLNA;CALM2,KidneyCancer,2.189114296
R-HSA-5684996,MAPK1/MAPK3 signaling,239,23,11.09078646,2.073793422,0.000682627,0.006948017,1445;2885;409;5604;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;7094;71;7529;805;808;983;9978,PSME2;CDK1;YWHAB;PSME1;PSMB10;PSMA6;CALM3;PSMB3;ARRB2;PSMB9;PSMA7;RBX1;MAP2K1;ACTG1;TLN1;PSMB8;PSMB2;CSK;PSMB6;CALM2;GRB2;PSMD8;PSMB1,KidneyCancer,2.158139144
R-HSA-5625740,RHO GTPases activate PKNs,88,12,4.083636854,2.938557082,0.000698902,0.007068638,103910;10971;3014;3015;387;5058;5879;7529;7533;8331;8358;8364,RHOA;RAC1;YWHAB;HIST1H4C;H2AFZ;YWHAH;PAK1;HIST1H3B;HIST1H2AJ;MYL12B;YWHAQ;H2AFX,KidneyCancer,2.150664229
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,65,10,3.016322676,3.31529517,0.000743271,0.007470111,10376;10890;10971;5879;71;7529;7533;805;808;84790,TUBA1B;RAC1;YWHAB;CALM3;YWHAH;TUBA1C;ACTG1;CALM2;YWHAQ;RAB10,KidneyCancer,2.126672922
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,10,4,0.464049643,8.619767442,0.000765836,0.007601276,6628;6634;6636;6637,SNRPF;SNRPB;SNRPD3;SNRPG,KidneyCancer,2.119113482
R-HSA-71336,Pentose phosphate pathway,10,4,0.464049643,8.619767442,0.000765836,0.007601276,25796;5226;6888;7086,TKT;TALDO1;PGLS;PGD,KidneyCancer,2.119113482
R-HSA-176412,Phosphorylation of the APC/C,17,5,0.788884392,6.338064295,0.000814412,0.008033519,11065;51529;5347;891;983,UBE2C;CDK1;PLK1;ANAPC11;CCNB1,KidneyCancer,2.095094172
R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,5,3,0.232024821,12.92965116,0.000923846,0.009057092,3159;5478;8815,PPIA;BANF1;HMGA1,KidneyCancer,2.043011235
R-HSA-157118,Signaling by NOTCH,215,21,9.977067314,2.104826933,0.000957884,0.009333524,3014;3015;409;4904;5687;5688;5689;5690;5691;5694;5696;5698;5699;5714;5720;5721;8331;8358;8364;9787;9978,YBX1;PSME2;PSME1;PSMB10;PSMA6;DLGAP5;PSMB3;HIST1H4C;H2AFZ;ARRB2;PSMB9;PSMA7;RBX1;HIST1H3B;HIST1H2AJ;PSMB8;PSMB2;PSMB6;PSMD8;PSMB1;H2AFX,KidneyCancer,2.029954346
R-HSA-5626467,RHO GTPases activate IQGAPs,26,6,1.206529071,4.972942755,0.000998679,0.009672059,10376;5879;71;805;808;84790,TUBA1B;RAC1;CALM3;TUBA1C;ACTG1;CALM2,KidneyCancer,2.014481047
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,159,17,7.378389316,2.304025889,0.001072851,0.010327803,10112;10376;11004;11258;11316;1523;24137;29127;375;381;3833;3835;56992;832;84790;8775;9493,TUBA1B;ARF5;KIFC1;CAPZB;TUBA1C;KIF2C;CUX1;KIF23;NAPA;KIF15;KIF20A;COPE;KIF4A;RACGAP1;DCTN3;KIF22;ARF1,KidneyCancer,1.985992066
R-HSA-72165,mRNA Splicing - Minor Pathway,46,8,2.134628356,3.747724975,0.001100205,0.010509538,10907;10992;4904;5434;6628;6634;6636;6637,YBX1;SNRPF;SNRPB;SNRPD3;POLR2E;TXNL4A;SNRPG;SF3B2,KidneyCancer,1.978416366
